ticket_id,cliente_id,fecha_creacion,tiempo_resolucion_horas,csat_score
TCK-00001,CLI-0001,2026-05-23,72.7,2
TCK-00002,CLI-0001,2026-02-08,97.6,1
TCK-00003,CLI-0001,2026-03-06,42.1,3
TCK-00004,CLI-0001,2026-05-18,93.5,2
TCK-00005,CLI-0001,2026-05-20,107.8,1
TCK-00006,CLI-0001,2026-04-11,60.7,1
TCK-00007,CLI-0001,2026-02-18,131.1,2
TCK-00008,CLI-0001,2026-01-19,51.9,1
TCK-00009,CLI-0001,2026-03-04,43.8,3
TCK-00010,CLI-0001,2026-04-29,65.7,2
TCK-00011,CLI-0001,2026-03-02,82.1,1
TCK-00012,CLI-0001,2026-04-29,54.1,2
TCK-00013,CLI-0001,2026-01-20,73.3,2
TCK-00014,CLI-0001,2026-03-18,74.0,1
TCK-00015,CLI-0001,2026-04-04,64.4,2
TCK-00016,CLI-0001,2026-01-11,30.2,1
TCK-00017,CLI-0001,2026-02-27,76.7,1
TCK-00018,CLI-0001,2026-01-19,94.3,1
TCK-00019,CLI-0001,2026-01-29,111.6,2
TCK-00020,CLI-0001,2026-05-17,140.7,1
TCK-00021,CLI-0001,2026-01-09,42.0,2
TCK-00022,CLI-0002,2026-02-09,85.7,1
TCK-00023,CLI-0002,2026-04-08,33.6,2
TCK-00024,CLI-0002,2026-04-08,48.3,2
TCK-00025,CLI-0002,2026-05-31,78.1,2
TCK-00026,CLI-0002,2026-02-01,85.4,2
TCK-00027,CLI-0002,2026-03-09,42.0,1
TCK-00028,CLI-0002,2026-02-01,52.6,3
TCK-00029,CLI-0002,2026-03-05,64.1,1
TCK-00030,CLI-0002,2026-05-27,82.6,2
TCK-00031,CLI-0002,2026-04-15,27.0,1
TCK-00032,CLI-0002,2026-01-02,67.7,1
TCK-00033,CLI-0002,2026-04-09,70.5,1
TCK-00034,CLI-0002,2026-01-22,77.5,1
TCK-00035,CLI-0002,2026-01-07,62.0,1
TCK-00036,CLI-0002,2026-03-09,92.6,3
TCK-00037,CLI-0002,2026-04-27,95.0,3
TCK-00038,CLI-0002,2026-01-24,83.1,1
TCK-00039,CLI-0002,2026-05-09,54.7,2
TCK-00040,CLI-0002,2026-05-26,100.0,2
TCK-00041,CLI-0003,2026-02-01,2.1,4
TCK-00042,CLI-0003,2026-01-27,3.4,4
TCK-00043,CLI-0003,2026-05-29,1.1,5
TCK-00044,CLI-0003,2026-02-02,3.4,4
TCK-00045,CLI-0003,2026-03-22,0.5,4
TCK-00046,CLI-0003,2026-04-07,6.8,4
TCK-00047,CLI-0003,2026-02-06,1.4,4
TCK-00048,CLI-0003,2026-03-19,16.0,4
TCK-00049,CLI-0004,2026-05-05,12.7,5
TCK-00050,CLI-0004,2026-04-15,3.6,5
TCK-00051,CLI-0004,2026-05-24,0.7,5
TCK-00052,CLI-0004,2026-05-22,8.5,4
TCK-00053,CLI-0004,2026-02-24,0.5,5
TCK-00054,CLI-0004,2026-03-16,0.8,5
TCK-00055,CLI-0005,2026-01-17,47.4,3
