cliente_id,periodo_reportado,logins_periodo,tiempo_uso_promedio_min,reportes_generados
CLI-0001,2026-W01,8,29.39,7
CLI-0001,2026-W02,6,22.68,4
CLI-0001,2026-W03,8,16.65,4
CLI-0001,2026-W04,9,33.62,8
CLI-0001,2026-W05,7,24.53,6
CLI-0001,2026-W06,8,18.43,6
CLI-0001,2026-W07,4,18.47,3
CLI-0001,2026-W08,0,5.67,0
CLI-0001,2026-W09,1,5.41,0
CLI-0001,2026-W10,0,1.48,0
CLI-0002,2026-W01,6,22.34,4
CLI-0002,2026-W02,10,24.51,10
CLI-0002,2026-W03,8,22.39,6
CLI-0002,2026-W04,8,23.01,6
CLI-0002,2026-W05,5,22.23,4
CLI-0002,2026-W06,5,22.41,4
CLI-0002,2026-W07,7,34.7,6
CLI-0002,2026-W08,1,3.07,0
CLI-0002,2026-W09,0,3.2,0
CLI-0002,2026-W10,2,4.85,0
CLI-0003,2026-W01,4,26.08,3
CLI-0003,2026-W02,5,19.82,4
CLI-0003,2026-W03,7,21.65,4
CLI-0003,2026-W04,9,18.58,6
CLI-0003,2026-W05,7,21.93,5
CLI-0003,2026-W06,8,22.49,6
CLI-0003,2026-W07,8,26.22,5
CLI-0003,2026-W08,8,24.27,7
CLI-0003,2026-W09,4,22.25,2
CLI-0003,2026-W10,8,25.64,8
CLI-0004,2026-W01,6,18.7,4
CLI-0004,2026-W02,6,24.68,3
CLI-0004,2026-W03,10,19.96,6
CLI-0004,2026-W04,9,22.62,6
CLI-0004,2026-W05,7,20.94,4
CLI-0004,2026-W06,9,23.63,8
CLI-0004,2026-W07,12,17.74,9
CLI-0004,2026-W08,9,19.35,7
CLI-0004,2026-W09,6,21.95,5
CLI-0004,2026-W10,8,36.59,7
CLI-0005,2026-W01,7,16.35,4
CLI-0005,2026-W02,8,11.63,5
CLI-0005,2026-W03,7,22.08,6
CLI-0005,2026-W04,9,26.87,5
CLI-0005,2026-W05,6,21.25,6
CLI-0005,2026-W06,6,16.36,5
CLI-0005,2026-W07,8,15.63,8
CLI-0005,2026-W08,1,2.84,0
CLI-0005,2026-W09,2,7.31,0
CLI-0005,2026-W10,1,3.16,0
CLI-0006,2026-W01,7,22.08,6
CLI-0006,2026-W02,8,19.77,6
CLI-0006,2026-W03,7,23.84,6
CLI-0006,2026-W04,10,12.22,10
CLI-0006,2026-W05,7,23.07,4
CLI-0006,2026-W06,6,30.66,4
CLI-0006,2026-W07,6,21.79,5
CLI-0006,2026-W08,9,19.04,5
CLI-0006,2026-W09,4,19.86,2
CLI-0006,2026-W10,10,20.32,7
CLI-0007,2026-W01,6,26.63,4
CLI-0007,2026-W02,7,19.45,6
CLI-0007,2026-W03,8,25.85,7
CLI-0007,2026-W04,12,26.14,12
CLI-0007,2026-W05,10,19.47,8
CLI-0007,2026-W06,5,22.31,4
CLI-0007,2026-W07,8,16.61,7
CLI-0007,2026-W08,7,24.0,6
CLI-0007,2026-W09,8,24.52,7
CLI-0007,2026-W10,8,19.46,7
CLI-0008,2026-W01,6,16.01,5
CLI-0008,2026-W02,11,22.07,8
CLI-0008,2026-W03,7,17.36,4
CLI-0008,2026-W04,13,16.63,12
CLI-0008,2026-W05,7,24.08,6
CLI-0008,2026-W06,9,26.79,7
CLI-0008,2026-W07,11,24.53,10
CLI-0008,2026-W08,5,20.72,4
CLI-0008,2026-W09,8,32.34,7
CLI-0008,2026-W10,5,28.01,5
CLI-0009,2026-W01,8,26.19,8
CLI-0009,2026-W02,7,17.79,6
CLI-0009,2026-W03,9,25.27,9
CLI-0009,2026-W04,9,21.93,9
CLI-0009,2026-W05,6,14.21,4
CLI-0009,2026-W06,9,24.12,8
CLI-0009,2026-W07,6,19.31,6
CLI-0009,2026-W08,7,14.59,5
CLI-0009,2026-W09,6,16.33,4
CLI-0009,2026-W10,7,18.31,6
CLI-0010,2026-W01,4,32.11,3
CLI-0010,2026-W02,10,18.1,8
CLI-0010,2026-W03,8,24.09,7
CLI-0010,2026-W04,10,17.91,7
CLI-0010,2026-W05,10,19.26,8
CLI-0010,2026-W06,5,25.62,5
CLI-0010,2026-W07,10,34.94,6
CLI-0010,2026-W08,5,25.49,3
CLI-0010,2026-W09,7,25.92,5
CLI-0010,2026-W10,5,15.69,3
CLI-0011,2026-W01,6,22.39,4
CLI-0011,2026-W02,6,25.3,6
CLI-0011,2026-W03,10,25.0,6
CLI-0011,2026-W04,11,24.08,12
CLI-0011,2026-W05,5,28.82,3
CLI-0011,2026-W06,6,26.55,4
CLI-0011,2026-W07,11,24.28,10
CLI-0011,2026-W08,5,17.41,5
CLI-0011,2026-W09,10,21.15,10
CLI-0011,2026-W10,8,25.79,8
CLI-0012,2026-W01,9,23.39,7
CLI-0012,2026-W02,7,20.44,6
CLI-0012,2026-W03,9,24.77,7
CLI-0012,2026-W04,7,27.41,4
CLI-0012,2026-W05,7,17.74,5
CLI-0012,2026-W06,6,17.11,4
CLI-0012,2026-W07,7,28.17,5
CLI-0012,2026-W08,6,22.94,6
CLI-0012,2026-W09,6,20.7,4
CLI-0012,2026-W10,4,20.9,2
CLI-0013,2026-W01,7,24.7,5
CLI-0013,2026-W02,8,16.01,7
CLI-0013,2026-W03,10,23.05,8
CLI-0013,2026-W04,8,21.95,5
CLI-0013,2026-W05,6,23.09,3
CLI-0013,2026-W06,8,13.27,6
CLI-0013,2026-W07,6,20.73,5
CLI-0013,2026-W08,2,7.68,0
CLI-0013,2026-W09,0,1.44,0
CLI-0013,2026-W10,1,4.54,0
CLI-0014,2026-W01,7,25.85,6
CLI-0014,2026-W02,5,24.14,5
CLI-0014,2026-W03,4,19.19,3
CLI-0014,2026-W04,7,30.37,7
CLI-0014,2026-W05,7,10.99,5
CLI-0014,2026-W06,4,22.17,4
CLI-0014,2026-W07,9,23.88,5
CLI-0014,2026-W08,8,27.81,7
CLI-0014,2026-W09,6,26.47,5
CLI-0014,2026-W10,4,17.48,4
CLI-0015,2026-W01,4,20.63,4
CLI-0015,2026-W02,7,22.57,6
CLI-0015,2026-W03,8,17.36,7
CLI-0015,2026-W04,7,14.51,4
CLI-0015,2026-W05,10,20.48,8
CLI-0015,2026-W06,7,29.94,5
CLI-0015,2026-W07,5,16.37,4
CLI-0015,2026-W08,5,21.66,3
CLI-0015,2026-W09,8,25.7,7
CLI-0015,2026-W10,13,10.75,8
CLI-0016,2026-W01,9,19.21,8
CLI-0016,2026-W02,6,18.9,6
CLI-0016,2026-W03,6,30.42,6
CLI-0016,2026-W04,9,22.12,8
CLI-0016,2026-W05,10,14.44,8
CLI-0016,2026-W06,5,11.11,3
CLI-0016,2026-W07,6,22.81,4
CLI-0016,2026-W08,8,22.75,7
CLI-0016,2026-W09,5,26.02,3
CLI-0016,2026-W10,8,25.67,6
CLI-0017,2026-W01,4,23.56,3
CLI-0017,2026-W02,5,20.01,4
CLI-0017,2026-W03,9,22.46,7
CLI-0017,2026-W04,6,22.03,4
CLI-0017,2026-W05,4,27.75,3
CLI-0017,2026-W06,7,27.59,5
CLI-0017,2026-W07,6,19.38,5
CLI-0017,2026-W08,1,4.49,0
CLI-0017,2026-W09,1,4.86,0
CLI-0017,2026-W10,1,2.19,0
CLI-0018,2026-W01,6,16.1,4
CLI-0018,2026-W02,8,16.05,6
CLI-0018,2026-W03,9,21.54,8
CLI-0018,2026-W04,7,25.28,6
CLI-0018,2026-W05,9,21.9,5
CLI-0018,2026-W06,6,13.13,4
CLI-0018,2026-W07,6,18.91,4
CLI-0018,2026-W08,8,20.27,5
CLI-0018,2026-W09,9,18.94,6
CLI-0018,2026-W10,7,27.92,6
CLI-0019,2026-W01,8,21.7,7
CLI-0019,2026-W02,6,18.83,4
CLI-0019,2026-W03,6,19.29,4
CLI-0019,2026-W04,9,20.89,9
CLI-0019,2026-W05,5,30.84,5
CLI-0019,2026-W06,8,14.97,7
CLI-0019,2026-W07,7,22.55,5
CLI-0019,2026-W08,11,16.46,11
CLI-0019,2026-W09,9,29.0,6
CLI-0019,2026-W10,6,20.61,5
CLI-0020,2026-W01,5,20.98,3
CLI-0020,2026-W02,7,25.3,6
CLI-0020,2026-W03,10,18.26,6
CLI-0020,2026-W04,4,21.89,3
CLI-0020,2026-W05,8,23.25,5
CLI-0020,2026-W06,7,22.62,6
CLI-0020,2026-W07,11,23.91,7
CLI-0020,2026-W08,0,2.38,0
CLI-0020,2026-W09,0,3.81,0
CLI-0020,2026-W10,1,5.15,0
CLI-0021,2026-W01,7,27.49,6
CLI-0021,2026-W02,11,24.25,10
CLI-0021,2026-W03,8,22.18,6
CLI-0021,2026-W04,3,25.73,2
CLI-0021,2026-W05,8,24.14,8
CLI-0021,2026-W06,6,20.08,5
CLI-0021,2026-W07,7,27.11,6
CLI-0021,2026-W08,7,32.41,5
CLI-0021,2026-W09,8,15.62,8
CLI-0021,2026-W10,7,18.74,6
CLI-0022,2026-W01,3,30.0,2
CLI-0022,2026-W02,9,24.67,5
CLI-0022,2026-W03,8,15.09,5
CLI-0022,2026-W04,7,26.21,6
CLI-0022,2026-W05,5,9.34,3
CLI-0022,2026-W06,7,21.29,5
CLI-0022,2026-W07,8,25.64,8
CLI-0022,2026-W08,9,23.29,5
CLI-0022,2026-W09,10,14.41,9
CLI-0022,2026-W10,9,25.13,8
CLI-0023,2026-W01,5,14.49,5
CLI-0023,2026-W02,6,18.69,4
CLI-0023,2026-W03,9,18.93,5
CLI-0023,2026-W04,6,18.94,4
CLI-0023,2026-W05,10,22.07,10
CLI-0023,2026-W06,7,21.45,5
CLI-0023,2026-W07,10,18.25,10
CLI-0023,2026-W08,10,23.05,8
CLI-0023,2026-W09,7,34.5,6
CLI-0023,2026-W10,5,20.23,5
CLI-0024,2026-W01,5,26.76,4
CLI-0024,2026-W02,11,30.35,9
CLI-0024,2026-W03,10,21.01,6
CLI-0024,2026-W04,7,13.64,4
CLI-0024,2026-W05,12,24.34,13
CLI-0024,2026-W06,7,28.64,6
CLI-0024,2026-W07,6,24.03,5
CLI-0024,2026-W08,1,7.07,0
CLI-0024,2026-W09,1,3.48,0
CLI-0024,2026-W10,1,3.78,0
CLI-0025,2026-W01,7,25.88,7
CLI-0025,2026-W02,5,21.87,5
CLI-0025,2026-W03,6,25.73,4
CLI-0025,2026-W04,8,25.45,5
CLI-0025,2026-W05,10,25.46,7
CLI-0025,2026-W06,8,17.01,6
CLI-0025,2026-W07,7,19.33,7
CLI-0025,2026-W08,7,20.13,7
CLI-0025,2026-W09,6,12.21,6
CLI-0025,2026-W10,6,22.97,6
CLI-0026,2026-W01,5,22.08,3
CLI-0026,2026-W02,11,27.12,8
CLI-0026,2026-W03,11,23.96,8
CLI-0026,2026-W04,10,18.38,6
CLI-0026,2026-W05,6,8.3,5
CLI-0026,2026-W06,10,29.7,8
CLI-0026,2026-W07,6,20.73,5
CLI-0026,2026-W08,6,23.91,6
CLI-0026,2026-W09,10,13.29,9
CLI-0026,2026-W10,8,20.62,6
CLI-0027,2026-W01,8,24.29,7
CLI-0027,2026-W02,7,21.48,5
CLI-0027,2026-W03,7,26.85,5
CLI-0027,2026-W04,8,23.1,7
CLI-0027,2026-W05,5,20.11,4
CLI-0027,2026-W06,9,22.19,5
CLI-0027,2026-W07,9,30.83,8
CLI-0027,2026-W08,2,4.97,0
CLI-0027,2026-W09,1,2.05,0
CLI-0027,2026-W10,1,3.21,0
CLI-0028,2026-W01,8,21.23,7
CLI-0028,2026-W02,7,13.1,6
CLI-0028,2026-W03,6,24.38,5
CLI-0028,2026-W04,11,21.51,7
CLI-0028,2026-W05,8,26.76,5
